src,dest,dist
ATL,AUS,811
ATL,BNA,214
ATL,BOS,945
ATL,BWI,576
ATL,DCA,546
ATL,DFW,729
ATL,FLL,581
ATL,IAD,533
ATL,IAH,688
ATL,JFK,759
ATL,LAX,1941
ATL,LGA,761
ATL,MCO,404
ATL,MIA,596
ATL,MSP,906
ATL,ORD,606
ATL,PBI,545
ATL,PHX,1583
ATL,RDU,355
ATL,SEA,2176
ATL,SFO,2133
ATL,SJC,2110
ATL,TPA,407
ATL,SAN,1886
ATL,LGB,1928
ATL,SNA,1913
ATL,SLC,1586
ATL,LAS,1742
ATL,DEN,1196
ATL,HPN,780
ATL,SAT,872
ATL,MSY,424
ATL,EWR,745
ATL,CID,694
ATL,HNL,4492
ATL,HOU,694
ATL,ELP,1279
ATL,SJU,1547
ATL,CLE,555
ATL,OAK,2124
ATL,TUS,1537
ATL,PHL,665
ATL,DTW,595
ANC,DFW,3036
ANC,IAH,3259
ANC,LAX,2341
ANC,MSP,2510
ANC,ORD,2837
ANC,PHX,2547
ANC,SEA,1444
ANC,SFO,2014
ANC,LGB,2356
ANC,LAS,2300
ANC,DEN,2399
ANC,HNL,2778
AUS,ATL,811
AUS,BNA,755
AUS,BOS,1695
AUS,BWI,1339
AUS,DCA,1313
AUS,DFW,190
AUS,FLL,1103
AUS,IAD,1294
AUS,IAH,140
AUS,JFK,1518
AUS,LAX,1238
AUS,MCO,992
AUS,MIA,1101
AUS,MSP,1042
AUS,ORD,978
AUS,PHX,870
AUS,RDU,1159
AUS,SEA,1768
AUS,SFO,1500
AUS,SJC,1473
AUS,TPA,925
AUS,SAN,1161
AUS,LGB,1223
AUS,SNA,1206
AUS,SLC,1085
AUS,LAS,1087
AUS,DEN,775
AUS,SAT,66
AUS,HNL,3755
AUS,MSY,443
AUS,EWR,1501
AUS,HOU,148
AUS,ELP,527
AUS,CLE,1173
AUS,OAK,1494
AUS,TUS,795
AUS,PHL,1428
AUS,DTW,1148
BNA,ATL,214
BNA,AUS,755
BNA,BOS,940
BNA,BWI,586
BNA,DCA,560
BNA,DFW,630
BNA,FLL,794
BNA,IAD,541
BNA,IAH,656
BNA,JFK,764
BNA,LAX,1792
BNA,LGA,762
BNA,MCO,617
BNA,MIA,807
BNA,MSP,695
BNA,ORD,409
BNA,PHX,1445
BNA,RDU,441
BNA,SEA,1972
BNA,SFO,1963
BNA,TPA,613
BNA,SAN,1746
BNA,SLC,1400
BNA,LAS,1583
BNA,DEN,1011
BNA,SAT,821
BNA,MSY,471
BNA,EWR,746
BNA,CID,481
BNA,HOU,669
BNA,CLE,448
BNA,OAK,1953
BNA,PHL,673
BNA,DTW,456
BOS,ATL,945
BOS,AUS,1695
BOS,BNA,940
BOS,BWI,369
BOS,DCA,398
BOS,DFW,1558
BOS,FLL,1238
BOS,IAD,412
BOS,IAH,1594
BOS,JFK,186
BOS,LAX,2604
BOS,LGA,184
BOS,MCO,1121
BOS,MIA,1259
BOS,MSP,1120
BOS,ORD,864
BOS,PBI,1198
BOS,PHX,2294
BOS,RDU,611
BOS,SEA,2487
BOS,SFO,2696
BOS,SJC,2680
BOS,TPA,1185
BOS,SAN,2581
BOS,LGB,2595
BOS,SLC,2098
BOS,LAS,2374
BOS,DEN,1748
BOS,HPN,166
BOS,MSY,1366
BOS,EWR,200
BOS,HNL,5083
BOS,HOU,1606
BOS,SJU,1678
BOS,CLE,561
BOS,OAK,2685
BOS,PHL,280
BOS,DTW,630
BWI,ATL,576
BWI,BNA,586
BWI,BOS,369
BWI,DFW,1214
BWI,FLL,927
BWI,IAH,1233
BWI,JFK,183
BWI,LAX,2322
BWI,MCO,788
BWI,MIA,948
BWI,MSP,934
BWI,ORD,620
BWI,PBI,885
BWI,PHX,1993
BWI,RDU,256
BWI,SEA,2327
BWI,SFO,2449
BWI,SJC,2431
BWI,TPA,843
BWI,SAN,2289
BWI,SLC,1859
BWI,AUS,1339
BWI,LAS,2099
BWI,DEN,1486
BWI,SAT,1405
BWI,MSY,997
BWI,EWR,169
BWI,HOU,1244
BWI,SJU,1568
BWI,CLE,313
BWI,OAK,2439
BWI,PHL,90
BWI,DTW,408
DCA,ATL,546
DCA,AUS,1313
DCA,BNA,560
DCA,BOS,398
DCA,DFW,1189
DCA,FLL,901
DCA,IAH,1206
DCA,JFK,212
DCA,LAX,2304
DCA,LGA,214
DCA,MCO,760
DCA,MIA,921
DCA,MSP,928
DCA,ORD,610
DCA,PBI,859
DCA,RDU,227
DCA,SEA,2321
DCA,SFO,2435
DCA,TPA,815
DCA,SAN,2269
DCA,LAS,2082
DCA,DEN,1471
DCA,HPN,233
DCA,MSY,968
DCA,EWR,198
DCA,HOU,1216
DCA,SJU,1557
DCA,PHL,119
DCA,CLE,309
DCA,DTW,404
DFW,ATL,729
DFW,ANC,3036
DFW,AUS,190
DFW,BNA,630
DFW,BOS,1558
DFW,BWI,1214
DFW,DCA,1189
DFW,FLL,1117
DFW,IAD,1169
DFW,IAH,225
DFW,JFK,1388
DFW,LAX,1231
DFW,LGA,1386
DFW,MCO,983
DFW,MIA,1119
DFW,MSP,852
DFW,ORD,801
DFW,PBI,1100
DFW,PHX,866
DFW,RDU,1058
DFW,SEA,1657
DFW,SFO,1460
DFW,SJC,1435
DFW,TPA,927
DFW,SAN,1168
DFW,SNA,1201
DFW,SLC,987
DFW,LAS,1052
DFW,DEN,641
DFW,SAT,247
DFW,MSY,447
DFW,EWR,1369
DFW,CID,686
DFW,HNL,3776
DFW,HOU,247
DFW,ELP,550
DFW,SJU,2162
DFW,CLE,1019
DFW,OAK,1453
DFW,TUS,811
DFW,SAF,549
DFW,PHL,1300
DFW,DTW,985
FLL,ATL,581
FLL,AUS,1103
FLL,BNA,794
FLL,BOS,1238
FLL,BWI,927
FLL,DCA,901
FLL,DFW,1117
FLL,IAD,902
FLL,IAH,963
FLL,JFK,1070
FLL,LAX,2337
FLL,LGA,1077
FLL,MCO,178
FLL,MSP,1488
FLL,ORD,1183
FLL,PHX,1968
FLL,RDU,682
FLL,SEA,2712
FLL,SFO,2577
FLL,TPA,197
FLL,SAN,2263
FLL,LGB,2322
FLL,SLC,2080
FLL,LAS,2168
FLL,DEN,1701
FLL,HPN,1099
FLL,SAT,1143
FLL,MSY,672
FLL,EWR,1066
FLL,HOU,955
FLL,SJU,1045
FLL,CLE,1064
FLL,PHL,994
FLL,DTW,1129
IAD,ATL,533
IAD,AUS,1294
IAD,BNA,541
IAD,BOS,412
IAD,DFW,1169
IAD,FLL,902
IAD,IAH,1188
IAD,JFK,227
IAD,LAX,2281
IAD,LGA,228
IAD,MCO,759
IAD,MIA,923
IAD,MSP,906
IAD,ORD,587
IAD,PHX,1951
IAD,RDU,224
IAD,SEA,2298
IAD,SFO,2411
IAD,TPA,811
IAD,SAN,2247
IAD,SLC,1822
IAD,LAS,2059
IAD,DEN,1448
IAD,SAT,1359
IAD,MSY,954
IAD,EWR,212
IAD,HNL,4806
IAD,SJU,1573
IAD,CLE,288
IAD,OAK,2401
IAD,PHL,134
IAD,DTW,383
IAH,ATL,688
IAH,ANC,3259
IAH,AUS,140
IAH,BNA,656
IAH,BOS,1594
IAH,BWI,1233
IAH,DCA,1206
IAH,DFW,225
IAH,FLL,963
IAH,IAD,1188
IAH,JFK,1414
IAH,LAX,1375
IAH,LGA,1414
IAH,MCO,852
IAH,MIA,962
IAH,MSP,1035
IAH,ORD,926
IAH,PBI,953
IAH,PHX,1007
IAH,RDU,1040
IAH,SEA,1871
IAH,SFO,1631
IAH,SJC,1604
IAH,TPA,786
IAH,SAN,1300
IAH,SNA,1343
IAH,SLC,1194
IAH,LAS,1219
IAH,DEN,862
IAH,SAT,190
IAH,MSY,304
IAH,EWR,1397
IAH,HNL,3895
IAH,ELP,666
IAH,SJU,2004
IAH,CLE,1090
IAH,TUS,934
IAH,PHL,1322
IAH,DTW,1075
JFK,ATL,759
JFK,AUS,1518
JFK,BNA,764
JFK,BOS,186
JFK,BWI,183
JFK,DCA,212
JFK,DFW,1388
JFK,FLL,1070
JFK,IAD,227
JFK,IAH,1414
JFK,LAX,2468
JFK,MCO,945
JFK,MIA,1091
JFK,MSP,1025
JFK,ORD,738
JFK,PBI,1029
JFK,PHX,2147
JFK,RDU,426
JFK,SEA,2413
