id,iata,icao,city,descr,region,runways,longest,altitude,country,continent,lat,lon
1,ATL,KATL,Atlanta,Hartsfield - Jackson Atlanta International Airport,US-GA,5,12390,1026,US,,33.6366996765137,-84.4281005859375
2,ANC,PANC,Anchorage,Anchorage Ted Stevens,US-AK,3,12400,151,US,,61.1744003295898,-149.996002197266
3,AUS,KAUS,Austin,Austin Bergstrom International Airport,US-TX,2,12250,542,US,,30.1944999694824,-97.6698989868164
4,BNA,KBNA,Nashville,Nashville International Airport,US-TN,4,11030,599,US,,36.1245002746582,-86.6781997680664
5,BOS,KBOS,Boston,Boston Logan,US-MA,6,10083,19,US,,42.36429977,-71.00520325
6,BWI,KBWI,Baltimore,Baltimore/Washington International Airport,US-MD,3,10502,143,US,,39.17539978,-76.66829681
7,DCA,KDCA,Washington D.C.,Ronald Reagan Washington National Airport,US-DC,3,7169,14,US,,38.8521003723145,-77.0376968383789
8,DFW,KDFW,Dallas,Dallas/Fort Worth International Airport,US-TX,7,13401,607,US,,32.896800994873,-97.0380020141602
9,FLL,KFLL,Fort Lauderdale,Fort Lauderdale/Hollywood International Airport,US-FL,2,9000,64,US,,26.0725994110107,-80.152702331543
10,IAD,KIAD,Washington D.C.,Washington Dulles International Airport,US-VA,4,11500,313,US,,38.94449997,-77.45580292
11,IAH,KIAH,Houston,George Bush Intercontinental,US-TX,5,12001,96,US,,29.9843997955322,-95.3414001464844
12,JFK,KJFK,New York,New York John F. Kennedy International Airport,US-NY,4,14511,12,US,,40.63980103,-73.77890015
13,LAX,KLAX,Los Angeles,Los Angeles International Airport,US-CA,4,12091,127,US,,33.94250107,-118.4079971
14,LGA,KLGA,New York,New York La Guardia,US-NY,2,7003,20,US,,40.77719879,-73.87259674
15,MCO,KMCO,Orlando,Orlando International Airport,US-FL,4,12005,96,US,,28.4293994903564,-81.3089981079102
16,MIA,KMIA,Miami,Miami International Airport,US-FL,4,13016,8,US,,25.7931995391846,-80.2906036376953
17,MSP,KMSP,Minneapolis,Minneapolis-St.Paul International Airport,US-MN,4,11006,841,US,,44.8819999695,-93.2218017578
18,ORD,KORD,Chicago,Chicago O'Hare International Airport,US-IL,7,13000,672,US,,41.97859955,-87.90480042
19,PBI,KPBI,West Palm Beach,Palm Beach International Airport,US-FL,3,10000,19,US,,26.6832008361816,-80.0955963134766
20,PHX,KPHX,Phoenix,Phoenix Sky Harbor International Airport,US-AZ,3,11489,1135,US,,33.4342994689941,-112.012001037598
21,RDU,KRDU,Raleigh,Raleigh-Durham,US-NC,3,10000,435,US,,35.8776016235352,-78.7874984741211
22,SEA,KSEA,Seattle,Seattle-Tacoma,US-WA,3,11901,432,US,,47.4490013122559,-122.30899810791
23,SFO,KSFO,San Francisco,San Francisco International Airport,US-CA,4,11870,13,US,,37.6189994812012,-122.375
24,SJC,KSJC,San Jose,Norman Y. Mineta San Jose International Airport,US-CA,3,11000,62,US,,37.3625984191895,-121.929000854492
25,TPA,KTPA,Tampa,Tampa International Airport,US-FL,3,11002,26,US,,27.9755001068115,-82.533203125
26,SAN,KSAN,San Diego,San Diego Lindbergh,US-CA,1,9400,16,US,,32.7336006165,-117.190002441
27,LGB,KLGB,Long Beach,Long Beach Airport,US-CA,3,10003,60,US,,33.81769943,-118.1520004
28,SNA,KSNA,Santa Ana,"Orange County/Santa Ana, John Wayne",US-CA,2,5701,56,US,,33.67570114,-117.8679962
29,SLC,KSLC,Salt Lake City,Salt Lake City,US-UT,4,12002,56,US,,40.7883987426758,-111.977996826172
30,LAS,KLAS,Las Vegas,Las Vegas Mc Carran,US-NV,4,14512,2181,US,,36.08010101,-115.1520004
31,DEN,KDEN,Denver,Denver International Airport,US-CO,6,16000,5433,US,,39.8616981506348,-104.672996520996
32,HPN,KHPN,White Plains,Westchester County,US-NY,2,6549,439,US,,41.0670013427734,-73.7076034545898
33,SAT,KSAT,San Antonio,San Antonio,US-TX,3,8505,809,US,,29.5337009429932,-98.4698028564453
34,MSY,KMSY,New Orleans,New Orleans L. Armstrong,US-LA,2,10104,3,US,,29.9934005737305,-90.2580032348633
35,EWR,KEWR,Newark,"Newark, Liberty",US-NY,3,11000,17,US,,40.6925010681152,-74.168701171875
36,CID,KCID,Cedar Rapids,The Eastern Iowa Airport,US-IA,2,8600,869,US,,41.8847007751465,-91.7108001708984
37,HNL,PHNL,Honolulu,Honolulu International Airport,US-HI,4,12312,13,US,,21.3187007904053,-157.921997070312
38,HOU,KHOU,Houston,Houston Hobby,US-TX,4,7602,46,US,,29.64539909,-95.27890015
39,ELP,KELP,El Paso,El Paso International Airport,US-TX,3,12020,3961,US,,31.80719948,-106.3779984
40,SJU,TJSJ,San Juan,"Puerto Rico, Luis Munoz International Airport",PR-U-A,2,10400,9,PR,,18.4393997192,-66.0018005371
41,CLE,KCLE,Cleveland,"Cleveland, Hopkins International Airport",US-OH,3,9956,799,US,,41.4117012024,-81.8498001099
42,OAK,KOAK,Oakland,Oakland,US-CA,4,10520,9,US,,37.7212982177734,-122.221000671387
43,TUS,KTUS,Tucson,Tucson International Airport,US-AZ,3,10996,2643,US,,32.1161003112793,-110.94100189209
44,SAF,KSAF,Santa Fe,Santa Fe,US-NM,3,8366,6348,US,,35.617099762,-106.088996887
